,fips,CTYNAME,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Nat_Amer_Male,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
71,149,Prince George County,0.107,0.013,-0.06,0.138,-0.064,-0.107,-0.107,-0.107,-0.107,-0.107,2010
72,153,Prince William County,0.061,0.006,-0.032,0.183,-0.034,-0.061,-0.056,-0.061,-0.041,-0.061,2010
73,155,Pulaski County,0.241,-0.028,-0.119,2.317,0.454,-0.241,-0.241,-0.241,0.949,-0.241,2010
74,157,Rappahannock County,0.08,0.035,-0.08,0.501,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,2010
75,159,Richmond County,0.151,0.001,-0.084,0.171,-0.046,-0.151,-0.151,-0.151,-0.151,-0.151,2010
76,161,Roanoke County,0.092,0.033,-0.055,0.479,0.031,-0.092,0.009,-0.092,0.076,-0.092,2010
77,163,Rockbridge County,0.085,0.02,-0.029,0.569,-0.085,-0.085,-0.085,-0.085,-0.085,-0.085,2010
78,165,Rockingham County,0.064,0.02,-0.029,0.693,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,2010
79,167,Russell County,0.298,0.141,-0.146,1.183,0.692,-0.298,-0.298,-0.298,-0.298,-0.298,2010
80,169,Scott County,0.195,0.062,-0.056,-0.195,-0.195,-0.195,-0.195,-0.195,-0.195,-0.195,2010
81,171,Shenandoah County,0.1,0.037,-0.052,0.365,0.178,-0.1,0.044,-0.1,-0.1,-0.1,2010
82,173,Smyth County,0.398,0.149,-0.135,-0.106,-0.087,-0.398,-0.398,-0.398,2.727,-0.398,2010
83,175,Southampton County,0.08,-0.063,-0.062,0.245,-0.08,-0.08,-0.08,-0.08,4.682,-0.08,2010
84,177,Spotsylvania County,0.121,0.018,-0.072,0.45,-0.08,-0.121,-0.121,-0.121,-0.045,-0.121,2010
85,179,Stafford County,0.112,0.008,-0.05,0.295,-0.033,-0.112,-0.112,-0.112,-0.112,-0.112,2010
86,181,Surry County,0.17,-0.116,-0.17,0.289,0.062,-0.17,-0.17,-0.17,-0.17,-0.17,2010
87,183,Sussex County,0.341,-0.155,0.08,0.178,-0.161,-0.341,-0.341,-0.341,-0.341,-0.341,2010
88,185,Tazewell County,0.184,0.068,-0.07,0.354,-0.184,-0.184,-0.184,-0.184,-0.184,-0.184,2010
89,187,Warren County,0.171,0.016,-0.108,1.177,0.063,-0.171,-0.171,-0.171,0.462,-0.171,2010
90,191,Washington County,0.136,0.053,-0.051,0.124,0.179,-0.136,-0.136,-0.136,-0.136,-0.136,2010
91,193,Westmoreland County,0.206,0.015,-0.124,0.392,-0.051,-0.206,-0.206,-0.206,-0.206,-0.206,2010
92,195,Wise County,0.498,0.148,-0.153,0.027,0.149,-0.498,-0.498,-0.498,-0.498,-0.498,2010
93,197,Wythe County,0.451,0.099,-0.171,2.882,0.277,-0.451,-0.451,-0.451,-0.451,-0.451,2010
94,199,York County,0.048,0.032,-0.028,0.047,-0.004,-0.048,-0.048,-0.048,-0.048,-0.048,2010
95,510,Alexandria city,0.011,-0.0,-0.009,0.036,0.001,-0.011,-0.011,-0.011,-0.011,-0.011,2010
96,520,Bristol city,,,,,,,,,,,2010
97,530,Buena Vista city,0.378,0.229,-0.131,-0.378,-0.378,-0.378,-0.378,-0.378,-0.378,-0.378,2010
98,540,Charlottesville city,0.189,-0.04,-0.176,0.948,0.055,-0.189,-0.021,-0.189,-0.189,-0.189,2010
99,550,Chesapeake city,0.123,-0.032,-0.084,0.351,-0.042,-0.123,-0.123,-0.102,-0.089,-0.123,2010
100,570,Colonial Heights city,0.34,0.074,-0.236,1.885,-0.044,-0.34,-0.34,-0.34,0.052,-0.34,2010
101,580,Covington city,1.246,0.124,-0.522,3.834,-0.437,-1.246,-1.246,-1.246,-1.246,-1.246,2010
102,590,Danville city,0.308,-0.002,-0.202,0.492,-0.178,-0.308,-0.161,-0.308,-0.308,-0.308,2010
103,595,Emporia city,,,,,,,,,,,2010
104,600,Fairfax city,0.009,-0.009,-0.009,-0.009,0.346,-0.009,-0.009,-0.009,-0.009,-0.009,2010
105,610,Falls Church city,0.008,-0.008,-0.008,-0.008,-0.008,-0.008,0.176,-0.008,-0.008,-0.008,2010
106,620,Franklin city,0.326,-0.077,-0.271,0.716,-0.326,-0.326,-0.326,-0.326,3.674,-0.326,2010
107,630,Fredericksburg city,0.218,-0.05,-0.097,0.557,0.071,-0.218,-0.218,-0.218,-0.218,-0.218,2010
108,640,Galax city,0.772,0.608,-0.535,0.137,-0.772,8.319,-0.37,-0.772,-0.772,-0.772,2010
109,650,Hampton city,0.161,-0.007,-0.094,0.256,-0.107,-0.161,-0.097,-0.161,-0.161,-0.161,2010
110,660,Harrisonburg city,0.165,0.051,-0.108,0.798,0.186,-0.165,-0.14,-0.165,-0.165,-0.165,2010
111,670,Hopewell city,0.344,-0.052,-0.228,0.821,-0.239,-0.344,-0.096,-0.344,-0.344,-0.344,2010
112,678,Lexington city,0.355,0.002,-0.056,0.744,-0.047,-0.355,-0.355,-0.355,-0.355,-0.355,2010
113,680,Lynchburg city,0.275,-0.116,-0.21,1.032,-0.124,-0.275,-0.193,-0.275,-0.179,-0.275,2010
114,683,Manassas city,0.173,-0.05,-0.082,0.869,-0.034,-0.173,-0.142,-0.173,-0.173,-0.173,2010
115,685,Manassas Park city,0.007,-0.007,0.013,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,2010
116,690,Martinsville city,0.661,-0.073,-0.532,1.452,-0.485,-0.661,-0.331,-0.661,-0.661,-0.661,2010
117,700,Newport News city,0.211,-0.071,-0.159,0.504,-0.104,-0.211,-0.197,-0.211,-0.211,-0.211,2010
118,710,Norfolk city,0.22,-0.1,-0.176,0.516,-0.117,-0.22,-0.22,-0.22,-0.22,-0.22,2010
119,720,Norton city,0.523,0.021,-0.162,1.916,0.196,-0.523,-0.523,-0.523,-0.523,-0.523,2010
120,730,Petersburg city,0.781,-0.221,-0.538,0.882,-0.587,-0.781,-0.207,-0.781,-0.781,-0.179,2010
121,735,Poquoson city,0.099,0.092,-0.082,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099,2010
122,740,Portsmouth city,0.349,-0.181,-0.309,0.668,-0.17,-0.349,-0.287,-0.349,-0.349,-0.349,2010
123,750,Radford city,,,,,,,,,,,2010
124,760,Richmond city,0.344,-0.238,-0.301,0.785,-0.192,-0.207,-0.232,-0.344,-0.301,-0.344,2010
125,770,Roanoke city,0.273,-0.027,-0.177,0.742,-0.132,-0.273,-0.207,-0.273,-0.273,-0.273,2010
126,775,Salem city,,,,,,,,,,,2010
127,790,Staunton city,0.143,0.033,-0.088,0.684,-0.143,4.402,-0.143,-0.143,-0.143,-0.143,2010
128,800,Suffolk city,0.146,-0.011,-0.111,0.309,-0.105,-0.146,-0.068,-0.146,-0.146,-0.146,2010
129,810,Virginia Beach city,0.061,0.016,-0.039,0.183,-0.031,-0.061,-0.061,-0.061,-0.053,-0.061,2010
130,820,Waynesboro city,0.248,0.046,-0.109,0.592,-0.004,-0.248,0.013,-0.248,-0.248,-0.248,2010
131,830,Williamsburg city,,,,,,,,,,,2010
132,840,Winchester city,0.306,-0.041,-0.17,1.139,-0.036,-0.306,0.178,-0.306,-0.306,-0.306,2010
133,1,Accomack County,0.066,-0.031,-0.057,0.253,-0.046,-0.066,0.056,-0.066,-0.066,-0.066,2011
134,3,Albemarle County,0.078,-0.013,-0.059,0.705,-0.001,-0.078,0.023,-0.078,-0.078,-0.078,2011
135,5,Alleghany County,0.272,0.012,-0.09,1.85,-0.009,-0.272,-0.272,-0.272,-0.272,-0.272,2011
136,7,Amelia County,0.204,-0.036,-0.141,0.852,-0.139,-0.204,-0.204,-0.204,-0.204,-0.204,2011
137,9,Amherst County,0.208,0.053,-0.124,0.637,-0.208,-0.208,-0.208,-0.208,-0.208,-0.208,2011
138,11,Appomattox County,0.053,0.017,-0.036,0.086,0.011,-0.053,-0.053,-0.053,-0.053,-0.053,2011
139,13,Arlington County,0.018,0.003,-0.013,0.135,0.002,-0.018,-0.018,-0.018,-0.008,-0.018,2011
140,15,Augusta County,0.073,0.022,-0.038,0.284,0.031,-0.073,-0.073,-0.073,-0.073,-0.073,2011
141,17,Bath County,0.129,0.1,-0.083,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,-0.129,2011
142,19,Bedford County,0.083,0.012,-0.045,0.426,0.103,-0.083,-0.083,-0.083,-0.083,-0.083,2011
143,21,Bland County,0.133,0.096,-0.099,-0.133,-0.133,,-0.133,-0.133,-0.133,-0.133,2011
144,23,Botetourt County,0.127,0.067,-0.051,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127,2011
145,25,Brunswick County,0.204,-0.038,-0.175,0.315,-0.182,-0.204,-0.204,-0.204,-0.204,-0.204,2011
146,27,Buchanan County,0.16,0.04,-0.029,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,2011
147,29,Buckingham County,0.174,-0.054,-0.134,0.427,-0.174,-0.174,-0.174,-0.174,-0.174,-0.174,2011
148,31,Campbell County,0.12,-0.02,-0.077,0.73,-0.071,-0.12,-0.12,-0.12,-0.12,-0.12,2011
149,33,Caroline County,0.16,-0.001,-0.046,0.255,-0.113,-0.16,0.036,-0.16,-0.16,-0.16,2011
150,35,Carroll County,0.076,0.04,-0.043,-0.076,0.988,-0.076,-0.076,-0.076,-0.076,-0.076,2011
151,36,Charles City County,,,,,,,,,,,2011
152,37,Charlotte County,0.176,0.036,-0.058,0.28,-0.176,-0.176,-0.176,-0.176,-0.176,-0.176,2011
153,41,Chesterfield County,0.109,0.0,-0.067,0.325,-0.048,-0.007,-0.06,-0.109,-0.07,-0.109,2011
154,43,Clarke County,0.063,0.014,-0.048,0.706,-0.063,-0.063,-0.063,-0.063,-0.063,-0.063,2011
155,45,Craig County,0.445,0.266,-0.251,-0.445,-0.445,-0.445,-0.445,-0.445,-0.445,-0.445,2011
156,47,Culpeper County,0.173,-0.028,-0.088,0.634,-0.001,-0.173,-0.173,-0.173,-0.173,-0.173,2011
157,49,Cumberland County,0.13,0.026,-0.038,0.137,-0.073,-0.13,-0.13,-0.13,-0.13,-0.13,2011
158,51,Dickenson County,0.234,0.009,-0.002,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,2011
159,53,Dinwiddie County,0.064,-0.02,-0.053,0.209,-0.044,-0.064,-0.064,-0.064,-0.064,-0.064,2011
160,57,Essex County,0.152,-0.087,-0.093,0.406,-0.065,-0.152,-0.152,-0.152,-0.152,-0.152,2011
161,59,Fairfax County,0.007,0.003,-0.005,0.04,-0.003,-0.007,-0.003,-0.007,-0.003,-0.007,2011
162,61,Fauquier County,0.106,0.033,-0.065,0.349,0.038,-0.106,-0.061,-0.106,-0.106,-0.106,2011
163,63,Floyd County,0.305,0.204,-0.197,0.389,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,2011
164,65,Fluvanna County,0.1,-0.029,-0.082,0.694,0.072,-0.1,-0.1,-0.1,-0.1,-0.1,2011
165,67,Franklin County,0.135,0.034,-0.076,0.604,-0.049,-0.135,-0.135,-0.135,-0.135,-0.135,2011
166,69,Frederick County,0.156,0.064,-0.069,0.409,-0.156,-0.156,-0.082,-0.156,-0.156,-0.156,2011
167,71,Giles County,0.385,0.105,-0.102,1.096,-0.385,-0.385,-0.385,-0.385,-0.385,-0.385,2011
168,73,Gloucester County,0.089,0.01,-0.046,0.561,-0.089,-0.089,-0.089,-0.089,-0.089,-0.089,2011
169,75,Goochland County,0.075,0.045,-0.052,0.128,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,2011
170,77,Grayson County,0.234,0.041,-0.049,0.949,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,2011
171,79,Greene County,0.096,0.013,-0.061,0.371,0.071,-0.096,0.366,-0.096,-0.096,-0.096,2011
172,81,Greensville County,0.125,-0.055,-0.069,0.139,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,2011
173,83,Halifax County,0.233,-0.009,-0.181,0.535,-0.162,-0.233,0.073,0.135,-0.233,-0.233,2011
174,85,Hanover County,0.09,0.036,-0.061,0.301,0.012,-0.09,-0.09,-0.09,-0.09,-0.09,2011
175,87,Henrico County,0.107,0.021,-0.064,0.253,-0.07,-0.107,-0.082,-0.107,-0.08,-0.107,2011
176,89,Henry County,0.095,0.022,-0.047,0.21,-0.079,-0.095,-0.095,-0.095,-0.095,-0.095,2011
177,91,Highland County,0.133,0.047,-0.044,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,-0.133,2011
178,93,Isle of Wight County,,,,,,,,,,,2011
179,95,James City County,,,,,,,,,,,2011
180,97,King and Queen County,,,,,,,,,,,2011
181,99,King George County,0.181,-0.014,-0.062,0.584,-0.135,-0.181,-0.181,-0.181,-0.181,-0.181,2011
182,101,King William County,0.1,0.03,-0.053,0.2,-0.033,-0.1,-0.1,-0.1,-0.1,-0.1,2011
183,103,Lancaster County,0.08,-0.027,-0.032,0.256,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,2011
184,105,Lee County,0.106,0.059,-0.048,-0.106,-0.106,-0.106,-0.106,-0.106,-0.106,-0.106,2011
185,107,Loudoun County,0.027,0.008,-0.015,0.157,0.012,-0.027,-0.022,-0.027,-0.015,-0.027,2011
186,109,Louisa County,0.164,0.01,-0.149,0.81,-0.064,-0.164,-0.164,-0.164,-0.164,-0.164,2011
187,111,Lunenburg County,0.163,-0.022,-0.06,0.198,-0.112,-0.163,-0.163,-0.163,8.928,-0.163,2011
188,113,Madison County,0.107,0.055,-0.056,0.189,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,2011
189,115,Mathews County,0.078,-0.0,-0.053,0.691,-0.078,-0.078,-0.078,-0.078,-0.078,-0.078,2011
190,117,Mecklenburg County,0.126,-0.013,-0.096,0.307,-0.109,-0.126,-0.126,-0.126,-0.126,-0.126,2011
191,119,Middlesex County,0.138,0.098,-0.07,0.062,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,2011
192,121,Montgomery County,0.18,0.063,-0.072,0.715,-0.011,-0.18,-0.18,-0.18,-0.18,-0.18,2011
193,125,Nelson County,0.146,0.062,-0.115,0.508,-0.049,-0.146,-0.146,-0.146,-0.146,-0.146,2011
194,127,New Kent County,0.101,0.052,-0.088,0.272,-0.017,-0.101,-0.101,-0.101,-0.101,-0.101,2011
195,131,Northampton County,0.145,-0.011,-0.119,0.403,-0.105,-0.145,-0.145,-0.145,-0.145,-0.145,2011
196,133,Northumberland County,0.104,-0.059,-0.039,0.433,-0.104,-0.104,-0.104,-0.104,-0.104,-0.104,2011
197,135,Nottoway County,0.195,-0.132,-0.15,0.521,-0.195,-0.195,0.083,-0.195,-0.195,-0.195,2011
198,137,Orange County,0.1,-0.014,-0.038,0.504,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2011
199,139,Page County,0.175,0.09,-0.082,0.191,-0.175,-0.175,-0.175,-0.175,-0.175,-0.175,2011
200,141,Patrick County,0.158,0.083,-0.077,0.029,0.028,-0.158,-0.158,-0.158,-0.158,-0.158,2011
201,143,Pittsylvania County,0.101,-0.0,-0.076,0.406,-0.101,-0.101,-0.101,-0.101,-0.101,-0.101,2011
202,145,Powhatan County,0.064,0.017,-0.038,0.126,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,2011
203,147,Prince Edward County,0.197,-0.055,-0.168,0.534,-0.07,-0.197,-0.197,-0.197,-0.197,-0.197,2011
204,149,Prince George County,0.074,0.018,-0.046,0.079,-0.074,-0.074,0.0,-0.074,0.365,-0.074,2011
205,153,Prince William County,0.059,0.009,-0.032,0.166,-0.033,-0.059,-0.05,-0.059,-0.059,-0.053,2011
206,155,Pulaski County,0.317,0.028,-0.145,2.264,0.035,-0.317,0.086,-0.317,-0.317,-0.317,2011
207,157,Rappahannock County,0.054,0.032,-0.025,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054,2011
208,159,Richmond County,0.163,-0.04,-0.06,0.161,0.046,-0.163,-0.163,-0.163,-0.163,-0.163,2011
209,161,Roanoke County,0.085,0.02,-0.032,0.427,-0.007,-0.085,-0.085,-0.085,-0.085,-0.085,2011
210,163,Rockbridge County,0.111,0.013,-0.028,0.534,-0.111,-0.111,0.574,-0.111,-0.111,-0.111,2011
211,165,Rockingham County,0.082,0.026,-0.05,0.535,0.092,-0.082,-0.037,-0.082,-0.082,-0.082,2011
212,167,Russell County,0.307,0.078,-0.092,1.867,-0.307,-0.307,-0.307,-0.307,-0.307,-0.307,2011
213,169,Scott County,0.286,0.085,-0.083,-0.286,-0.286,3.285,-0.286,-0.286,-0.286,-0.286,2011
214,171,Shenandoah County,0.088,0.034,-0.045,0.567,-0.088,-0.088,-0.018,-0.088,-0.088,-0.088,2011
215,173,Smyth County,0.29,0.126,-0.144,1.181,0.322,-0.29,-0.29,-0.29,-0.29,-0.29,2011
216,175,Southampton County,0.107,0.013,-0.052,0.108,-0.046,-0.107,-0.107,-0.107,-0.107,-0.107,2011
217,177,Spotsylvania County,0.123,0.008,-0.049,0.339,-0.072,-0.123,-0.102,-0.123,-0.047,-0.123,2011
218,179,Stafford County,0.12,0.044,-0.04,0.173,-0.094,-0.12,-0.12,-0.12,-0.12,-0.12,2011
219,181,Surry County,0.116,-0.062,-0.059,0.156,0.004,-0.116,-0.116,-0.116,-0.116,-0.116,2011
220,183,Sussex County,0.149,-0.112,-0.102,0.224,-0.149,-0.149,-0.149,-0.149,-0.149,-0.149,2011
221,185,Tazewell County,0.201,0.081,-0.072,0.012,-0.201,-0.201,-0.201,-0.201,-0.201,-0.201,2011
222,187,Warren County,0.194,0.044,-0.108,0.486,-0.194,-0.194,0.263,-0.194,-0.194,-0.194,2011
223,191,Washington County,0.195,0.056,-0.062,1.084,-0.195,-0.195,-0.195,-0.195,-0.195,-0.195,2011
224,193,Westmoreland County,0.227,-0.008,-0.096,0.448,-0.149,-0.227,-0.227,-0.227,-0.227,-0.227,2011
225,195,Wise County,0.504,0.211,-0.174,-0.288,0.16,-0.504,-0.504,-0.504,-0.504,-0.504,2011
226,197,Wythe County,0.342,0.056,-0.075,1.282,-0.098,-0.342,-0.342,-0.342,-0.342,-0.342,2011
227,199,York County,0.052,0.019,-0.04,0.258,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052,2011
228,510,Alexandria city,0.01,0.001,-0.008,0.036,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,2011
229,520,Bristol city,,,,,,,,,,,2011
230,530,Buena Vista city,0.417,0.177,-0.143,0.154,0.193,-0.417,-0.417,-0.417,-0.417,-0.417,2011
231,540,Charlottesville city,0.174,-0.081,-0.143,1.036,-0.041,-0.174,0.082,-0.174,-0.174,-0.174,2011
232,550,Chesapeake city,0.142,0.0,-0.107,0.396,-0.089,-0.142,-0.142,-0.142,-0.142,-0.142,2011
233,570,Colonial Heights city,0.364,0.07,-0.233,1.541,0.206,-0.364,-0.364,-0.098,-0.364,-0.364,2011
234,580,Covington city,0.981,0.346,-0.593,2.128,-0.442,-0.981,0.49,-0.981,-0.981,-0.981,2011
235,590,Danville city,0.504,-0.142,-0.35,0.978,-0.296,-0.504,-0.504,-0.504,-0.504,0.011,2011
